signal,time
-35487.36141714648,1669884018.4835224
-116295.2907187102,1669884018.483688
-163329.77061198815,1669884018.4837523
-146895.14963237318,1669884018.4855385
-110472.73081995154,1669884018.4856198
-76471.34439057852,1669884018.5264778
-46459.25303757229,1669884018.526562
-22405.96789249209,1669884018.5278177
-9185.969442892812,1669884018.5278966
-3603.195202103165,1669884018.5293705
6198.6348457987915,1669884018.5294595
24273.267269303564,1669884018.5753987
38440.641145853,1669884018.5754764
39515.50206227881,1669884018.576766
36834.048591440245,1669884018.5768533
43389.15858086067,1669884018.5782216
55769.69576322175,1669884018.5783083
59050.59094615697,1669884018.5794654
48755.52130521591,1669884018.5795543
38401.89630058073,1669884018.5807545
38721.29889069315,1669884018.580826
43178.95785795758,1669884018.623706
43062.57013729334,1669884018.6238158
37790.36986934522,1669884018.624817
31507.372376541356,1669884018.624906
28548.931742336274,1669884018.6259265
29048.092861482182,1669884018.6260166
28711.761680458294,1669884018.6270306
24242.880924489906,1669884018.6271214
17536.04731363618,1669884018.6283462
13490.805707500836,1669884018.6284373
15374.672609461686,1669884018.6755092
18182.60781514234,1669884018.676389
13786.675301602601,1669884018.6806629
3896.926777639387,1669884018.6808803
-821.0781223181439,1669884018.6836417
3915.353705819234,1669884018.683853
7302.0007087892145,1669884018.686144
1025.083846769547,1669884018.686317
-6098.920174986605,1669884018.6879604
-4043.567502320632,1669884018.6881137
684.9016338775075,1669884018.770239
-834.6269240163348,1669884018.7703478
-4437.5591571443765,1669884018.7712042
-5114.748045100327,1669884018.7712855
-4654.331259177596,1669884018.7722628
-4283.047019096898,1669884018.7723796
-2893.8758513733746,1669884018.7735329
-1329.8359156195586,1669884018.7736194
-1926.082165670855,1669884018.774668
-4332.2984584026035,1669884018.7747574
-3340.7872313826338,1669884018.775802
1736.5925987654514,1669884018.7758865
1176.9449124462299,1669884018.776757
-6728.986417014346,1669884018.7768369
-8158.0963704185915,1669884018.777645
108.27145286556868,1669884018.777726
4353.054495080475,1669884018.7787406
-710.8054524348354,1669884018.778823
-4805.192653365005,1669884018.7797873
-1529.2622224077757,1669884018.779871
1083.557898668678,1669884018.780674
-1635.357775520839,1669884018.7807982
-4271.055890223344,1669884018.818717
-4856.154518610679,1669884018.8188088
-3249.9691303543527,1669884018.819627
1160.2589503992276,1669884018.8197026
2888.2948460666466,1669884018.8206313
79.92597249931441,1669884018.8207126
-197.45712598352145,1669884018.821701
2636.3166222340024,1669884018.8217726
1677.3207189483574,1669884018.8677416
-2559.567117151424,1669884018.8679473
-3161.530084725518,1669884018.8688815
59.04156397088309,1669884018.8689666
451.9443999153091,1669884018.8698835
-2454.698484852909,1669884018.8699684
-1745.6173936817622,1669884018.8708954
2150.0264884615713,1669884018.870966
2590.832029402102,1669884018.919158
-434.1862765904509,1669884018.9194822
-1910.7792053152566,1669884018.9222844
106.13328926347401,1669884018.9225671
2105.7456895737255,1669884018.966987
1928.5775494604588,1669884018.967298
2062.965499109156,1669884018.9704764
3729.3597253985176,1669884018.9707685
4248.28928340314,1669884018.9733615
2892.0788281299438,1669884018.9739342
2540.6286316146775,1669884018.9768436
2631.902274315825,1669884018.9771123
506.50389302671465,1669884018.9805553
-1922.4670194305086,1669884018.980834
-221.28905743278654,1669884019.0154889
2777.7768454313673,1669884019.0157857
710.1704899836301,1669884019.018688
-3368.4109110777617,1669884019.0189722
-3218.5210937165602,1669884019.0215724
-838.3732075828309,1669884019.0218375
-904.7606447025712,1669884019.0249188
-3414.8126690912636,1669884019.025187
-4561.356364085179,1669884019.0278132
-2614.22573906441,1669884019.028076
-1753.6310132632327,1669884019.064182
-4603.496411770624,1669884019.0644734
-4891.677169572338,1669884019.0671325
1010.1248634962675,1669884019.067405
5715.055205828823,1669884019.0701776
5500.671997367623,1669884019.0704632
4826.122255060628,1669884019.073426
5521.156596335105,1669884019.0737221
1965.2386878886666,1669884019.0770106
-4557.1315539159705,1669884019.0773003
-3815.64728622237,1669884019.1128964
2535.1735230651357,1669884019.113197
4962.254296088115,1669884019.1158113
2181.7968142984537,1669884019.1161175
353.14835731981066,1669884019.1186907
946.010441745206,1669884019.118939
-1094.1703451910878,1669884019.1218154
-5592.792177211047,1669884019.1220925
-6015.2597003038245,1669884019.1247668
-1070.4916132989574,1669884019.1250286
2539.3818584505134,1669884019.1616194
426.83080152702087,1669884019.161938
-2446.450053044714,1669884019.1648881
-758.0627523771725,1669884019.165167
580.8984732775,1669884019.1680481
-1241.7641529583298,1669884019.1683292
-1676.4226450259976,1669884019.1711977
-796.6041509408219,1669884019.1714728
-922.126210856006,1669884019.1742055
-2101.684161360714,1669884019.1744764
-2321.957558605874,1669884019.2104146
-84.72009605698972,1669884019.2106977
617.7311720189131,1669884019.2133133
-1885.1889824698565,1669884019.2135653
-2564.5756246117157,1669884019.2161613
-73.77745038484626,1669884019.2164328
1278.9606139661705,1669884019.2192793
-311.5212949804112,1669884019.2195504
-765.3162122540417,1669884019.222271
2513.472542165937,1669884019.2225447
4942.824823967969,1669884019.2582424
3651.5218674518333,1669884019.2586277
2381.14819164592,1669884019.2605906
4206.4007832826355,1669884019.260782
4368.122023928961,1669884019.2626483
-606.005336830873,1669884019.2628396
-3521.640338051454,1669884019.2647002
-1870.9190448686286,1669884019.2648902
-1373.3573940443362,1669884019.3071764
-1726.4625481953426,1669884019.3075979
669.0468892318394,1669884019.309753
3445.394262159181,1669884019.3099673
1506.7590728734692,1669884019.312087
-3087.7174106345537,1669884019.3122637
-3619.735326707226,1669884019.3140948
-487.75011143038205,1669884019.3142881
1504.289412761679,1669884019.316178
900.7372907092793,1669884019.316376
66.04460202235668,1669884019.355964
1956.8750079226504,1669884019.3561723
3998.191612559903,1669884019.358263
3000.0800696282586,1669884019.3584979
1972.0989954758304,1669884019.361038
2979.1360496169455,1669884019.3612885
1589.7171424716585,1669884019.3636527
-2432.078895915893,1669884019.3639019
-1032.6249903022801,1669884019.3662999
5165.571372161725,1669884019.3665452
5164.476523151248,1669884019.4051468
-2799.151661754808,1669884019.4054356
-6856.455394726845,1669884019.4083607
-3165.671720808141,1669884019.4086318
-1740.3566619116816,1669884019.411241
-3923.406413080329,1669884019.4115064
-1481.4924868902126,1669884019.414117
3769.258872714816,1669884019.4143841
3965.9487889001507,1669884019.4170268
391.3430490121789,1669884019.4172935
-1383.8138420647451,1669884019.4539952
-1227.936024602947,1669884019.4542992
-2401.4830798857756,1669884019.456912
-4996.3606803572575,1669884019.457178
-4770.545923340587,1669884019.4598165
-5755.793112134372,1669884019.4600868
-9830.047051475327,1669884019.4627662
-2534.344636221119,1669884019.4630265
14632.299209431118,1669884019.4656134
23429.223864777505,1669884019.4659019
19852.347893367645,1669884019.502702
14496.117319420246,1669884019.5030062
17282.135966411002,1669884019.50564
24055.05952076907,1669884019.505936
23218.396511942887,1669884019.5084958
13519.81418458501,1669884019.5087552
6063.934661298275,1669884019.5134385
4709.8634929640475,1669884019.5137174
3176.1746780850435,1669884019.5141351
-98.12148364146151,1669884019.517049
-6413.966215833674,1669884019.5173135
-16485.113548347028,1669884019.551507
-22719.51189983278,1669884019.5517902
-23585.678365207696,1669884019.554383
-24551.94021554547,1669884019.5546331
-23821.551186887562,1669884019.557195
-21444.060720801135,1669884019.5574558
-21113.178825827003,1669884019.5600674
-24236.30146101483,1669884019.5603235
-27226.600223796286,1669884019.5634327
-21432.87810335349,1669884019.5637176
-8464.105210701704,1669884019.6002645
-2092.7351547379776,1669884019.6005533
-6774.073379455812,1669884019.60316
-8467.451004897755,1669884019.603413
550.7287635636173,1669884019.6059341
7371.508445277741,1669884019.6061852
5673.371145174211,1669884019.6087623
3989.2143123193064,1669884019.6090226
6166.901237164788,1669884019.611641
9237.396563504353,1669884019.6119092
9547.205324734157,1669884019.648997
8238.549613922693,1669884019.6492999
7980.725337295703,1669884019.6518936
7403.409823047557,1669884019.6521437
6162.366499532087,1669884019.6549842
5774.205419632936,1669884019.6552558
7867.0773969071115,1669884019.6578546
9748.18392444277,1669884019.6581273
4560.973383318305,1669884019.6607826
-786.3863908934795,1669884019.6610534
4622.848528199336,1669884019.6977057
7836.386101932087,1669884019.6980128
1085.3156520585812,1669884019.7005296
73.3489771074847,1669884019.7007744
6758.8541228538625,1669884019.7033086
5775.4022725914,1669884019.703572
-4419.983717635677,1669884019.7062075
-7666.9414856361145,1669884019.7064776
-232.7885510351507,1669884019.7090383
4610.141062468254,1669884019.7093024
3410.6527029970252,1669884019.7465246
948.4738715226358,1669884019.7468266
-525.1861963612747,1669884019.7493947
-1234.511287258114,1669884019.7496595
1139.608144948586,1669884019.7522416
4505.982265461047,1669884019.752506
1390.9441736717997,1669884019.7551088
-4412.762121581877,1669884019.755371
-7114.2582423251915,1669884019.7580168
-5602.244457385452,1669884019.7582808
56.07044314597994,1669884019.795257
3907.8357165313887,1669884019.7955344
829.1119007714133,1669884019.798091
-833.5048751503327,1669884019.79834
3709.357882344409,1669884019.8008475
2846.3954020027495,1669884019.801102
-1974.2233514387915,1669884019.8036892
1408.2158153600926,1669884019.8039584
8294.061821477979,1669884019.806614
7654.9282675739305,1669884019.8068776
-328.15494477530564,1669884019.8442187
-3299.6897384692766,1669884019.8467655
2084.711227315154,1669884019.8494835
3582.7776409574103,1669884019.8497498
271.56337308630606,1669884019.8523364
1373.243667047721,1669884019.8526065
4947.2256951867375,1669884019.8552215
3397.4375838099663,1669884019.855495
-1357.2156840343248,1669884019.8928256
-2299.9318424001726,1669884019.893339
-1123.5483146769002,1669884019.8960013
-3571.9432790505925,1669884019.896275
-6691.55498220038,1669884019.8988566
-6044.149016343194,1669884019.8991299
-3645.5290193271103,1669884019.9017398
-3431.375974404302,1669884019.9020224
-5794.254393871968,1669884019.9045954
-3540.2406394346353,1669884019.904849
3211.4261158128156,1669884019.9419115
3043.5113335323636,1669884019.9433064
-2904.212569981727,1669884019.9459927
-3528.657441859449,1669884019.946253
2370.422859378554,1669884019.948805
3993.9753922755444,1669884019.949072
518.0212263584489,1669884019.9516425
2456.226485625673,1669884019.951904
4621.516459034544,1669884019.9544735
-637.8905199821704,1669884019.954734
-5081.861058149212,1669884019.9902172
-3854.3313100512064,1669884019.9905293
-1007.2921399996312,1669884019.9930887
1082.9425555753687,1669884019.9933476
1544.1508135733854,1669884019.995929
3945.0838392299306,1669884019.9961996
7282.727998940456,1669884019.9987674
3644.6309023528925,1669884019.9990308
-3724.5981995552884,1669884020.0015929
-4616.978778097813,1669884020.0018735
535.6267665017153,1669884020.0391707
545.4530255870646,1669884020.0394742
-2258.545063390542,1669884020.0420873
305.4135868649074,1669884020.042361
1691.5624518013494,1669884020.0449138
-1190.4613937747804,1669884020.0452008
-3264.968735243626,1669884020.0477848
-2419.0658833738407,1669884020.0480545
-2132.738707817533,1669884020.0506418
-2711.3275884066434,1669884020.0509074
-844.0887145489642,1669884020.0878656
1541.2257147289329,1669884020.088271
1358.6950519790325,1669884020.0908456
-3434.7442548466747,1669884020.091118
-7397.491108973084,1669884020.093632
-3247.119860293505,1669884020.0939248
2526.292945853596,1669884020.0964718
4186.007691480273,1669884020.0967264
4744.795573063374,1669884020.0992987
4846.97822068754,1669884020.099568
4883.677708242097,1669884020.1369371
5128.119471805803,1669884020.1376138
4458.544792257173,1669884020.1402516
3285.453299225187,1669884020.1405258
1981.9293776875668,1669884020.1431053
-17.605129181149778,1669884020.1433728
-3417.998739933684,1669884020.1459415
-4546.660020850391,1669884020.1462324
-923.7680124333102,1669884020.14884
1015.7948532034557,1669884020.1491034
-870.5701186902273,1669884020.1853213
-520.4450749935609,1669884020.1856146
1708.7652867238457,1669884020.188312
2203.9587054465424,1669884020.188592
2318.490798064896,1669884020.1913004
1935.325748733914,1669884020.1915824
-366.46705720816135,1669884020.206879
-2731.2057433583564,1669884020.207183
-3176.0299607112124,1669884020.2099385
-942.8963258966446,1669884020.2102156
648.6038377572831,1669884020.2324946
-2959.60182186976,1669884020.2326405
-6237.623574875876,1669884020.2339149
-2853.9076877069297,1669884020.2340648
1492.5020790730855,1669884020.2352254
148.7741532428921,1669884020.2353373
-3627.1783486987206,1669884020.2379785
-3717.2360870002603,1669884020.2381184
-860.691549598803,1669884020.2808077
-286.0178168349172,1669884020.2809093
-1965.440956121926,1669884020.281665
-927.0143100029383,1669884020.2817452
3800.9323532967715,1669884020.2829719
4675.180586727368,1669884020.2831092
-2134.6962339471615,1669884020.284495
-5988.4092393811725,1669884020.2846725
-1758.7543017546218,1669884020.2861326
1985.8859814222078,1669884020.28623
1733.03921360827,1669884020.3296223
1632.6419371587704,1669884020.329748
1944.71273358794,1669884020.3307564
743.7768674810105,1669884020.3308346
-358.7056097695487,1669884020.331713
711.8114532174783,1669884020.3318028
2881.57943543873,1669884020.3328593
2147.290241392185,1669884020.3329756
-701.5388837474501,1669884020.3350203
-1533.9970959553998,1669884020.335481
-1059.7939929384474,1669884020.3782365
-676.8623199285798,1669884020.3783236
-394.7173479330618,1669884020.3791842
844.1873337875313,1669884020.3792598
2988.1573518953414,1669884020.380093
2586.2065362632384,1669884020.3801627
-511.15166468785804,1669884020.3809547
-1533.633891978788,1669884020.381021
1492.5344721668025,1669884020.3817155
2969.5110422197963,1669884020.3817813
433.63184662603607,1669884020.4269571
-957.4195041736859,1669884020.4270575
-170.56073866592243,1669884020.427927
279.81695359135176,1669884020.4280078
-236.29550845098998,1669884020.4297473
165.40193476631643,1669884020.429882
2478.0428271253463,1669884020.4305549
1861.2581213079598,1669884020.4306285
-2374.588359271957,1669884020.4312973
-2184.240912745246,1669884020.4313607
2466.31275619106,1669884020.4352064
-346.17465734638074,1669884020.4353483
-7025.012710928051,1669884020.4360955
-1785.7063148064587,1669884020.4361608
8089.33858906666,1669884020.4369183
8463.963873785062,1669884020.4369936
4497.735190602369,1669884020.4758742
3355.4475949920156,1669884020.4759984
4429.67661072233,1669884020.4768105
3788.155896980339,1669884020.4769
-2134.9095905196095,1669884020.4776144
-5980.702922026645,1669884020.4776843
-3073.538983309867,1669884020.4789033
-1015.118456017159,1669884020.478995
-1818.017247084275,1669884020.4790506
-3329.298164552048,1669884020.4797976
-4742.371087446803,1669884020.4798648
-3439.3435671799602,1669884020.4805682
-2232.122280293976,1669884020.480649
-5645.753799056707,1669884020.5245132
-8623.656498576122,1669884020.5249805
-5680.171280036471,1669884020.525734
-3462.189495755455,1669884020.5258265
-7796.126044405996,1669884020.5265257
-10799.61490756757,1669884020.5265846
-6937.401410613214,1669884020.5272996
-1673.4524927727125,1669884020.5273573
-904.405332643255,1669884020.6220753
-3776.7656187988523,1669884020.622181
-2927.531346845905,1669884020.6230993
3645.3866578667157,1669884020.6232243
7778.597736327063,1669884020.6240323
6009.032114780546,1669884020.62411
3721.050776571599,1669884020.6248536
5065.723525927157,1669884020.6249151
8302.910255090526,1669884020.6707776
8892.731001688846,1669884020.6708868
5040.499143573359,1669884020.6716905
-1107.3730093065915,1669884020.671762
-1737.9772487509076,1669884020.672553
8602.267708967145,1669884020.6726272
19688.44797129444,1669884020.6733277
22531.278224131318,1669884020.6734104
20987.89202949697,1669884020.6743917
16367.277998884289,1669884020.674464
6993.647413905817,1669884020.675159
-1567.7676542215459,1669884020.675225
-1880.1203483541221,1669884020.7194312
1000.5618640984871,1669884020.7195191
-1913.8117612363765,1669884020.7201726
-7302.783436911871,1669884020.7202308
-7881.061759016641,1669884020.7208643
-5968.324653673073,1669884020.720921
-5733.844722661902,1669884020.7215607
-6079.676521773361,1669884020.7216196
-6547.898905571243,1669884020.722266
-7245.425625020717,1669884020.722327
-10211.500337133313,1669884020.722929
-12768.217622042142,1669884020.7229853
-7398.75369795283,1669884020.7235823
1276.8860313073092,1669884020.7236385
4967.462248597855,1669884020.7242534
4131.890852425873,1669884020.7243094
2235.9900056498823,1669884020.7681823
761.7472073143842,1669884020.7682598
-2125.6521414141876,1669884020.7689075
-5740.751393683673,1669884020.7689657
-4841.77463775236,1669884020.7695806
-460.5571946311096,1669884020.7696543
-1981.2710528448727,1669884020.770289
-5661.8874774997275,1669884020.7703474
249.13764645789115,1669884020.8169155
8122.397278555778,1669884020.8170164
6547.153552221905,1669884020.8177342
-219.151687448767,1669884020.8178296
-4642.092070055398,1669884020.8185222
-5380.920106763514,1669884020.8186018
-5400.538631827105,1669884020.819277
-5668.8881776280805,1669884020.8193543
-3528.767589846533,1669884020.8199933
108.69650801441594,1669884020.82007
1470.0327720859736,1669884020.8656685
-290.4971545994456,1669884020.8659117
-1130.666049236986,1669884020.8666573
841.6166571705778,1669884020.866745
1157.411301613381,1669884020.8674192
-319.26864315836536,1669884020.8675063
6.924046225695349,1669884020.8681743
2043.6959503153007,1669884020.8682673
2378.3189228792103,1669884020.8689084
-156.01089307242557,1669884020.8689995
-913.607541692925,1669884020.9144642
1861.1076072091346,1669884020.9145668
2213.538667745732,1669884020.9153306
-1085.0158722001374,1669884020.915413
-843.0951010698416,1669884020.9160998
4153.600046810381,1669884020.9161813
6166.573098461275,1669884020.9168527
3967.551863746108,1669884020.9169307
4816.94129932159,1669884020.9175947
7595.8532427314985,1669884020.9176745
5592.282191701046,1669884020.963305
1487.2352403242326,1669884020.9634237
1421.9190706543925,1669884020.964247
2715.7086685959275,1669884020.9643388
-21.473205151350612,1669884020.9650536
-5885.36630609199,1669884020.9651372
-8010.849200253099,1669884020.9658654
-3913.397733719873,1669884020.9659472
-2142.0640780648437,1669884020.9666376
-5949.119729396142,1669884020.966725
-6528.186082146262,1669884021.0123177
-1341.4996797111967,1669884021.012412
1650.8897307206198,1669884021.0131738
523.5221147676634,1669884021.0132475
541.4075351255983,1669884021.014005
1662.984269785422,1669884021.0140803
952.4685767624649,1669884021.0148106
-177.97873936285052,1669884021.014882
344.1137463684513,1669884021.0156112
1204.192888687348,1669884021.0156982
-696.8675324104188,1669884021.0630295
-3127.6986337282183,1669884021.0637877
-378.1307106986943,1669884021.0665045
4334.791211271027,1669884021.0667708
3855.11811352431,1669884021.1116085
176.31310484927224,1669884021.1119123
-1293.1800511892131,1669884021.1145425
-1341.809489183653,1669884021.1148117
-3338.294426049434,1669884021.1173213
-5126.767941562236,1669884021.1175823
-2620.028017389746,1669884021.1203303
855.6674332082994,1669884021.120601
-871.7747056890298,1669884021.1585424
-5054.979429861121,1669884021.1586764
-4310.160334002133,1669884021.1596508
-558.5048568722301,1669884021.1597457
385.3090927071247,1669884021.1606698
-1031.9721397407586,1669884021.1607623
-438.76012100412163,1669884021.1617055
3057.6760378447775,1669884021.161812
3354.88086453567,1669884021.162761
-1301.733570092902,1669884021.162853
-2531.547328019219,1669884021.2075772
3187.5599210594446,1669884021.207702
7556.241155332061,1669884021.2087824
5929.404280888965,1669884021.2088847
4485.287206397973,1669884021.2099674
4517.17903615278,1669884021.210073
1095.7935344932978,1669884021.211118
-3206.331252601907,1669884021.2112217
-2383.471002446352,1669884021.2562215
1727.7605509668415,1669884021.2563455
2395.011828990736,1669884021.2574055
-362.2448796187523,1669884021.2575152
-896.0480796192613,1669884021.2585995
88.18556130373105,1669884021.2587066
-1607.0092538842343,1669884021.2597604
-3142.1989099482876,1669884021.2598643
-625.9657246885326,1669884021.2609177
2876.12522486933,1669884021.2610219
1494.242922631449,1669884021.305117
-3369.7294042930794,1669884021.3052626
-3537.071976961499,1669884021.3065875
1330.3809453680215,1669884021.3067172
3125.9796166438173,1669884021.3079352
1258.3935621300361,1669884021.3080578
742.7479021149989,1669884021.3092616
211.4667068785633,1669884021.309383
-2163.3327989392046,1669884021.310632
-3061.1819461776263,1669884021.3107572
-1528.9890620970957,1669884021.3555574
-279.45059892500666,1669884021.3558686
-833.1661936874963,1669884021.3584776
-2264.622931630086,1669884021.3587446
-1725.249588915858,1669884021.361253
664.8637993703376,1669884021.3615074
771.5854942504758,1669884021.3640323
-1742.9887117624285,1669884021.3642936
-1983.0976427703163,1669884021.3669126
-781.9594740817577,1669884021.3671865
-1491.129653607653,1669884021.4023762
-2373.7864334181454,1669884021.4025064
-2094.041193220871,1669884021.403628
-102.97800828172339,1669884021.4037435
1015.5787286992093,1669884021.4048393
303.6073094069096,1669884021.4049478
2083.4818270754668,1669884021.4060364
5113.841896741038,1669884021.406147
3853.9581650801842,1669884021.407251
-153.51853826259654,1669884021.4073656
259.3937905577466,1669884021.4526641
4186.699139384322,1669884021.4529626
3064.9266440230526,1669884021.4556854
-1404.8291657519055,1669884021.4559674
-624.5492924733832,1669884021.4587371
2497.0897799311942,1669884021.4591122
2161.7124285980362,1669884021.4618647
260.6029539220877,1669884021.462136
-610.3879657274987,1669884021.4647014
-1270.5656142199455,1669884021.4649606
-2797.414789161959,1669884021.500612
-2914.665448034439,1669884021.5008388
-453.03184083608596,1669884021.5026896
1936.039859696502,1669884021.502869
947.9517690351557,1669884021.504663
-2257.39014838794,1669884021.504853
-2800.6522987253857,1669884021.5066836
-388.9820054873472,1669884021.506868
-2936.712643046359,1669884021.510123
-13435.204243081214,1669884021.5103076
-20667.987646631027,1669884021.510464
-19905.41850437505,1669884021.5502863
-15687.9455633501,1669884021.5505915
-6871.078161577397,1669884021.553135
2181.457197051838,1669884021.5533957
4613.704833534368,1669884021.555963
6989.756961065019,1669884021.556225
12324.452504604225,1669884021.5587597
13181.372628715899,1669884021.5590208
10246.274327814568,1669884021.5615602
8289.099398945344,1669884021.561841
6063.97864184162,1669884021.59915
